,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
182,"Lucid Dreams","Juice WRLD",726974,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
183,Reckless,"Madison Beer",722936,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
184,"Roses - Imanbek Remix","SAINt JHN",720925,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
185,"Hold On","Justin Bieber",717814,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
186,INFERNO,"Sub Urban",714831,https://open.spotify.com/track/7aonAWn0J0AJ47ZU9WHCXC
187,"Never Going Home",Kungs,712770,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
188,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",711177,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
189,"Sexo Virtual","Rauw Alejandro",709012,https://open.spotify.com/track/0giiXonRhODYy4J1iy4Lb3
190,"Without Me",Eminem,702640,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
191,"The Night We Met","Lord Huron",702546,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
192,"Something Just Like This","The Chainsmokers",701414,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
193,"death bed (coffee for your head)",Powfu,700136,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
194,Streets,"Doja Cat",698597,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
195,"Your Love (9PM)",ATB,696115,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
196,Photograph,"Ed Sheeran",695985,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
197,Closer,"The Chainsmokers",693250,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
198,Hawái,Maluma,693044,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
199,"Rumors (feat. Cardi B)",Lizzo,691786,https://open.spotify.com/track/6KgtcmCF9Ky68XC7ezxl3s
200,"DOLLA SIGN SLIME (feat. Megan Thee Stallion)","Lil Nas X",690610,https://open.spotify.com/track/7zQirOExB0VR8yWUOqYeio
